Transaction Date,Supplier Title,Supplier Category,Project Title,Currency Title,Type Title,Godown Title,Category Title,Class Title,Brand Title,Item Title,Unit Title,Item Description,Quantity,Rate,Gross Amount,SalesTax Amount,Net Amount
8/25/2020,Humayun Cargill ( javed sarvana ),RAW MATERIAL,None,PAK Rupee,proteinSodiumCaseinate,Factory Warehouse,milkAndProteins,whipCream,raw material,sodium Cassienate,kg,cassinate 09 bags,225.0,3200.0,720000.0,0.0,720000.0
8/25/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,VanillaWhipCream,Factory Warehouse,Flavors,whipCream,raw material,Vanilla bean Flavor k-0308797,kg,vanila flavor 10 kg,10.0,2000.0,20000.0,0.0,20000.0
8/25/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,cracker,Factory Warehouse,filmFlexiblePackaging,cracker,packing material,papad Crackers Party Mix 250gm roll,kg,dashi party mix 250gm roll 518.44kg,518.44,455.0,235890.2,40101.33,275991.53
8/26/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,DMG,Factory Warehouse,emulsifier,cakegel,raw material,DISTILLED MONOGLYCERIDE (DMG),kg,dmg 50 bags,1000.0,320.0,320000.0,0.0,320000.0
8/26/2020,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,rafhan starch 100 bags,5000.0,93.02,465075.0,0.0,465075.0
8/26/2020,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,rafhan starch 100 bags,5000.0,93.02,465077.0,0.0,465077.0
8/27/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,lime,Factory Warehouse,Flavors,seasoning,raw material,Lime Flavor k-0308797,kg,lime flavor 20kg,20.0,1000.0,20000.0,0.0,20000.0
8/27/2020,Hussain Can,PACKING MATERIAL,None,PAK Rupee,cakegel,Factory Warehouse,bucket,cakegel,packing material,Plastic 18kg bucket,pcs,20kg plastic bucket 250 pcs,250.0,300.0,75000.0,0.0,75000.0
8/28/2020,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,rafhan starch 600 bags,30000.0,93.02,2790450.0,0.0,2790450.0
8/31/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,potassium hydroxide,Factory Warehouse,foodChem,cakegel,raw material,KOH potassium hydroxide ,kg,KOH 10kg,10.0,550.0,5500.0,0.0,5500.0
9/1/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,DMG,Factory Warehouse,emulsifier,cakegel,raw material,DISTILLED MONOGLYCERIDE (DMG),kg,dmg 50 bags,1000.0,320.0,320000.0,0.0,320000.0
9/1/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,PGE,Factory Warehouse,emulsifier,cakegel,raw material,PGE,kg,pge 35 bags,700.0,675.0,472500.0,0.0,472500.0
9/1/2020,Gul Foods kareemabad Farhan,RAW MATERIAL,None,PAK Rupee,dipChocolate,Factory Warehouse,partiallyFinished,mingalz,raw material,dipChocolate,kg,dip chocolate 860kg,860.0,250.0,215000.0,0.0,215000.0
9/2/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderRedChilli,Factory Warehouse,vegetable powder,seasoning,raw material,red chilli,kg,red chilli 05 kg,5.0,1180.0,5900.0,0.0,5900.0
9/2/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGarlic,Factory Warehouse,vegetable powder,seasoning,raw material,Garlic Powder Local,kg,garlic powder 05 kg,5.0,990.0,4950.0,0.0,4950.0
